SFY,All Funding Sources,AGE,Test Type,# of Tests
2010-2011,IFS,3,""VDRL, RPR, ART"",
2010-2011,IFS,3,Gonorrhea,
2010-2011,IFS,3,Pap Smear,
2010-2011,IFS,3,Chlamydia,
2010-2011,IFS,3,Pelvic Exam,
2010-2011,IFS,3,Ova/ Parasites,
2010-2011,IFS,3,Total Cholesterol,254
2010-2011,IFS,4,Sickle Cell,58
2010-2011,IFS,4,Blood Lead,3369
2010-2011,IFS,4,Lead Test,9474
2010-2011,IFS,4,Lead Referral,1555
2010-2011,IFS,4,""VDRL, RPR, ART"",
2010-2011,IFS,4,Gonorrhea,
2010-2011,IFS,4,Pap Smear,
2010-2011,IFS,4,Chlamydia,
2010-2011,IFS,4,Pelvic Exam,
2010-2011,IFS,4,Ova/ Parasites,34
2010-2011,IFS,4,Total Cholesterol,389
2010-2011,IFS,5,Sickle Cell,33
2010-2011,IFS,5,Blood Lead,1473
2010-2011,IFS,5,Lead Test,4531
2010-2011,IFS,5,Lead Referral,801
2010-2011,IFS,5,""VDRL, RPR, ART"",
2010-2011,IFS,5,Gonorrhea,0
2010-2011,IFS,5,Pap Smear,
2010-2011,IFS,5,Chlamydia,
2010-2011,IFS,5,Pelvic Exam,
2010-2011,IFS,5,Ova/ Parasites,
2010-2011,IFS,5,Total Cholesterol,343
2010-2011,IFS,6,Sickle Cell,18
2010-2011,IFS,6,Blood Lead,567
2010-2011,IFS,6,Lead Test,1620
2010-2011,IFS,6,Lead Referral,238
2010-2011,IFS,6,""VDRL, RPR, ART"",
2010-2011,IFS,6,Gonorrhea,
2010-2011,IFS,6,Pap Smear,
2010-2011,IFS,6,Chlamydia,
2010-2011,IFS,6,Pelvic Exam,
2010-2011,IFS,6,Ova/ Parasites,
2010-2011,IFS,6,Total Cholesterol,335
2010-2011,IFS,7,Sickle Cell,
2010-2011,IFS,7,Blood Lead,223
2010-2011,IFS,7,Lead Test,653
2010-2011,IFS,7,Lead Referral,98
2010-2011,IFS,7,""VDRL, RPR, ART"",
2010-2011,IFS,7,Gonorrhea,
2010-2011,IFS,7,Pap Smear,
2010-2011,IFS,7,Chlamydia,
2010-2011,IFS,7,Pelvic Exam,
2010-2011,IFS,7,Ova/ Parasites,
2010-2011,IFS,7,Total Cholesterol,308
2010-2011,IFS,8,Sickle Cell,
2010-2011,IFS,8,Blood Lead,171
2010-2011,IFS,8,Lead Test,528
2010-2011,IFS,8,Lead Referral,50
2010-2011,IFS,8,""VDRL, RPR, ART"",
2010-2011,IFS,8,Gonorrhea,
2010-2011,IFS,8,Pap Smear,0
2010-2011,IFS,8,Chlamydia,
2010-2011,IFS,8,Pelvic Exam,0
2010-2011,IFS,8,Ova/ Parasites,
2010-2011,IFS,8,Total Cholesterol,325
2010-2011,IFS,9,Sickle Cell,
2010-2011,IFS,9,Blood Lead,162
2010-2011,IFS,9,Lead Test,352
2010-2011,IFS,9,Lead Referral,58
2010-2011,IFS,9,""VDRL, RPR, ART"",
2010-2011,IFS,9,Gonorrhea,0
2010-2011,IFS,9,Pap Smear,0
2010-2011,IFS,9,Chlamydia,
2010-2011,IFS,9,Pelvic Exam,0
2010-2011,IFS,9,Ova/ Parasites,
2010-2011,IFS,9,Total Cholesterol,378
2010-2011,IFS,10,Sickle Cell,
2010-2011,IFS,10,Blood Lead,151
2010-2011,IFS,10,Lead Test,337
2010-2011,IFS,10,Lead Referral,59
2010-2011,IFS,10,""VDRL, RPR, ART"",25
2010-2011,IFS,10,Gonorrhea,
2010-2011,IFS,10,Pap Smear,
2010-2011,IFS,10,Chlamydia,
2010-2011,IFS,10,Pelvic Exam,
2010-2011,IFS,10,Ova/ Parasites,
2010-2011,IFS,10,Total Cholesterol,460
2010-2011,IFS,11,Sickle Cell,
2010-2011,IFS,11,Blood Lead,125
2010-2011,IFS,11,Lead Test,351
2010-2011,IFS,11,Lead Referral,41
2010-2011,IFS,11,""VDRL, RPR, ART"",41
2010-2011,IFS,11,Gonorrhea,
2010-2011,IFS,11,Pap Smear,34
2010-2011,IFS,11,Chlamydia,180
2010-2011,IFS,11,Pelvic Exam,
2010-2011,IFS,11,Ova/ Parasites,
2010-2011,IFS,11,Total Cholesterol,444
2010-2011,IFS,12,Sickle Cell,
2010-2011,IFS,12,Blood Lead,94
2010-2011,IFS,12,Lead Test,288
2010-2011,IFS,12,Lead Referral,38
2010-2011,IFS,12,""VDRL, RPR, ART"",35
2010-2011,IFS,12,Gonorrhea,187
2010-2011,IFS,12,Pap Smear,32
2010-2011,IFS,12,Chlamydia,397
2010-2011,IFS,12,Pelvic Exam,
2010-2011,IFS,12,Ova/ Parasites,0
2010-2011,IFS,12,Total Cholesterol,526
2010-2011,IFS,13,Sickle Cell,
2010-2011,IFS,13,Blood Lead,92
2010-2011,IFS,13,Lead Test,302
2010-2011,IFS,13,Lead Referral,26
2010-2011,IFS,13,""VDRL, RPR, ART"",51
2010-2011,IFS,13,Gonorrhea,271
2010-2011,IFS,13,Pap Smear,
2010-2011,IFS,13,Chlamydia,547
2010-2011,IFS,13,Pelvic Exam,
2010-2011,IFS,13,Ova/ Parasites,
2010-2011,IFS,13,Total Cholesterol,455
2010-2011,IFS,14,Sickle Cell,
2010-2011,IFS,14,Blood Lead,90
2010-2011,IFS,14,Lead Test,312
2010-2011,IFS,14,Lead Referral,34
2010-2011,IFS,14,""VDRL, RPR, ART"",85
2010-2011,IFS,14,Gonorrhea,412
2010-2011,IFS,14,Pap Smear,
2010-2011,IFS,14,Chlamydia,642
2010-2011,IFS,14,Pelvic Exam,
2010-2011,IFS,14,Ova/ Parasites,
2010-2011,IFS,14,Total Cholesterol,511
2010-2011,IFS,15,Sickle Cell,
2010-2011,IFS,15,Blood Lead,97
2010-2011,IFS,15,Lead Test,288
2010-2011,IFS,15,Lead Referral,21
2010-2011,IFS,15,""VDRL, RPR, ART"",149
2010-2011,IFS,15,Gonorrhea,510
2010-2011,IFS,15,Pap Smear,
2010-2011,IFS,15,Chlamydia,1020
2010-2011,IFS,15,Pelvic Exam,48
2010-2011,IFS,15,Ova/ Parasites,
2010-2011,IFS,15,Total Cholesterol,503
2010-2011,IFS,16,Sickle Cell,
2010-2011,IFS,16,Blood Lead,69
2010-2011,IFS,16,Lead Test,246
2010-2011,IFS,16,Lead Referral,16
2010-2011,IFS,16,""VDRL, RPR, ART"",193
2010-2011,IFS,16,Gonorrhea,676
2010-2011,IFS,16,Pap Smear,72
2010-2011,IFS,16,Chlamydia,1229
2010-2011,IFS,16,Pelvic Exam,59
2010-2011,IFS,16,Ova/ Parasites,
2010-2011,IFS,16,Total Cholesterol,457
2010-2011,IFS,17,Sickle Cell,
2010-2011,IFS,17,Blood Lead,79
2010-2011,IFS,17,Lead Test,221
2010-2011,IFS,17,Lead Referral,
2010-2011,IFS,17,""VDRL, RPR, ART"",217
2010-2011,IFS,17,Gonorrhea,705
2010-2011,IFS,17,Pap Smear,92
2010-2011,IFS,17,Chlamydia,1180
2010-2011,IFS,17,Pelvic Exam,73
2010-2011,IFS,17,Ova/ Parasites,
2010-2011,IFS,17,Total Cholesterol,397
2010-2011,IFS,18,Sickle Cell,0
2010-2011,IFS,18,Blood Lead,45
2010-2011,IFS,18,Lead Test,130
2010-2011,IFS,18,Lead Referral,
2010-2011,IFS,18,""VDRL, RPR, ART"",160
2010-2011,IFS,18,Gonorrhea,448
2010-2011,IFS,18,Pap Smear,89
2010-2011,IFS,18,Chlamydia,747
2010-2011,IFS,18,Pelvic Exam,45
2010-2011,IFS,18,Ova/ Parasites,
2010-2011,IFS,18,Total Cholesterol,225
2010-2011,IFS,19,Sickle Cell,0
2010-2011,IFS,19,Blood Lead,
2010-2011,IFS,19,Lead Test,
2010-2011,IFS,19,Lead Referral,
2010-2011,IFS,19,""VDRL, RPR, ART"",
2010-2011,IFS,19,Gonorrhea,210
2010-2011,IFS,19,Pap Smear,
2010-2011,IFS,19,Chlamydia,359
2010-2011,IFS,19,Pelvic Exam,
2010-2011,IFS,19,Ova/ Parasites,0
2010-2011,IFS,19,Total Cholesterol,
2010-2011,IFS,20,Sickle Cell,
2010-2011,IFS,20,Blood Lead,
2010-2011,IFS,20,Lead Test,
2010-2011,IFS,20,Lead Referral,
2010-2011,IFS,20,""VDRL, RPR, ART"",
2010-2011,IFS,20,Gonorrhea,146
2010-2011,IFS,20,Pap Smear,
2010-2011,IFS,20,Chlamydia,272
2010-2011,IFS,20,Pelvic Exam,
2010-2011,IFS,20,Ova/ Parasites,
2010-2011,IFS,20,Total Cholesterol,
2010-2011,IFS,UNKNOWN,Sickle Cell,0
2010-2011,IFS,UNKNOWN,Blood Lead,
2010-2011,IFS,UNKNOWN,Lead Test,28
2010-2011,IFS,UNKNOWN,Lead Referral,
2010-2011,IFS,UNKNOWN,""VDRL, RPR, ART"",0
2010-2011,IFS,UNKNOWN,Gonorrhea,0
2010-2011,IFS,UNKNOWN,Pap Smear,0
2010-2011,IFS,UNKNOWN,Chlamydia,0
2010-2011,IFS,UNKNOWN,Pelvic Exam,0
2010-2011,IFS,UNKNOWN,Ova/ Parasites,
2010-2011,IFS,UNKNOWN,Total Cholesterol,
2010-2011,SFS,0,Sickle Cell,0
2010-2011,SFS,0,Blood Lead,
2010-2011,SFS,0,Lead Test,
2010-2011,SFS,0,Lead Referral,0
2010-2011,SFS,0,""VDRL, RPR, ART"",0
2010-2011,SFS,0,Gonorrhea,0
2010-2011,SFS,0,Pap Smear,0
2010-2011,SFS,0,Chlamydia,0
2010-2011,SFS,0,Pelvic Exam,0
2010-2011,SFS,0,Ova/ Parasites,0
2010-2011,SFS,0,Total Cholesterol,0
2010-2011,SFS,1,Sickle Cell,0
2010-2011,SFS,1,Blood Lead,46
2010-2011,SFS,1,Lead Test,87
2010-2011,SFS,1,Lead Referral,
2010-2011,SFS,1,""VDRL, RPR, ART"",0
2010-2011,SFS,1,Gonorrhea,0
2010-2011,SFS,1,Pap Smear,0
2010-2011,SFS,1,Chlamydia,0
2010-2011,SFS,1,Pelvic Exam,0
2010-2011,SFS,1,Ova/ Parasites,0
2010-2011,SFS,1,Total Cholesterol,0
2010-2011,SFS,2,Sickle Cell,0
2010-2011,SFS,2,Blood Lead,47
2010-2011,SFS,2,Lead Test,97
2010-2011,SFS,2,Lead Referral,
2010-2011,SFS,2,""VDRL, RPR, ART"",0
2010-2011,SFS,2,Gonorrhea,0
2010-2011,SFS,2,Pap Smear,0
2010-2011,SFS,2,Chlamydia,0
2010-2011,SFS,2,Pelvic Exam,0
2010-2011,SFS,2,Ova/ Parasites,0
2010-2011,SFS,2,Total Cholesterol,
2010-2011,SFS,3,Sickle Cell,0
2010-2011,SFS,3,Blood Lead,37
2010-2011,SFS,3,Lead Test,73
2010-2011,SFS,3,Lead Referral,
2010-2011,SFS,3,""VDRL, RPR, ART"",0
2010-2011,SFS,3,Gonorrhea,0
2010-2011,SFS,3,Pap Smear,0
2010-2011,SFS,3,Chlamydia,0
2010-2011,SFS,3,Pelvic Exam,0
2010-2011,SFS,3,Ova/ Parasites,0
2010-2011,SFS,3,Total Cholesterol,0
2010-2011,SFS,4,Sickle Cell,
2010-2011,SFS,4,Blood Lead,69
2010-2011,SFS,4,Lead Test,138
2010-2011,SFS,4,Lead Referral,
2010-2011,SFS,4,""VDRL, RPR, ART"",0
2010-2011,SFS,4,Gonorrhea,
2010-2011,SFS,4,Pap Smear,0
2010-2011,SFS,4,Chlamydia,
2010-2011,SFS,4,Pelvic Exam,0
2010-2011,SFS,4,Ova/ Parasites,0
2010-2011,SFS,4,Total Cholesterol,
2010-2011,SFS,5,Sickle Cell,
2010-2011,SFS,5,Blood Lead,50
2010-2011,SFS,5,Lead Test,94
2010-2011,SFS,5,Lead Referral,
2010-2011,SFS,5,""VDRL, RPR, ART"",0
2010-2011,SFS,5,Gonorrhea,0
2010-2011,SFS,5,Pap Smear,0
2010-2011,SFS,5,Chlamydia,0
2010-2011,SFS,5,Pelvic Exam,0
2010-2011,SFS,5,Ova/ Parasites,0
2010-2011,SFS,5,Total Cholesterol,
2010-2011,SFS,6,Sickle Cell,
2010-2011,SFS,6,Blood Lead,27
2010-2011,SFS,6,Lead Test,46
2010-2011,SFS,6,Lead Referral,
2010-2011,SFS,6,""VDRL, RPR, ART"",0
2010-2011,SFS,6,Gonorrhea,0
2010-2011,SFS,6,Pap Smear,0
2010-2011,SFS,6,Chlamydia,
2010-2011,SFS,6,Pelvic Exam,0
2010-2011,SFS,6,Ova/ Parasites,
2010-2011,SFS,6,Total Cholesterol,
2010-2011,SFS,7,Sickle Cell,0
2010-2011,SFS,7,Blood Lead,
2010-2011,SFS,7,Lead Test,22
2010-2011,SFS,7,Lead Referral,
2010-2011,SFS,7,""VDRL, RPR, ART"",0
2010-2011,SFS,7,Gonorrhea,0
2010-2011,SFS,7,Pap Smear,0
2010-2011,SFS,7,Chlamydia,0
2010-2011,SFS,7,Pelvic Exam,0
2010-2011,SFS,7,Ova/ Parasites,0
2010-2011,SFS,7,Total Cholesterol,22
2010-2011,SFS,8,Sickle Cell,
2010-2011,SFS,8,Blood Lead,
2010-2011,SFS,8,Lead Test,31
2010-2011,SFS,8,Lead Referral,
2010-2011,SFS,8,""VDRL, RPR, ART"",0
2010-2011,SFS,8,Gonorrhea,
2010-2011,SFS,8,Pap Smear,0
2010-2011,SFS,8,Chlamydia,
2010-2011,SFS,8,Pelvic Exam,0
2010-2011,SFS,8,Ova/ Parasites,
2010-2011,SFS,8,Total Cholesterol,30
2010-2011,SFS,9,Sickle Cell,0
2010-2011,SFS,9,Blood Lead,
2010-2011,SFS,9,Lead Test,20
2010-2011,SFS,9,Lead Referral,
2010-2011,SFS,9,""VDRL, RPR, ART"",0
2010-2011,SFS,9,Gonorrhea,
2010-2011,SFS,9,Pap Smear,0
2010-2011,SFS,9,Chlamydia,
2010-2011,SFS,9,Pelvic Exam,0
2010-2011,SFS,9,Ova/ Parasites,
2010-2011,SFS,9,Total Cholesterol,29
2010-2011,SFS,10,Sickle Cell,0
2010-2011,SFS,10,Blood Lead,13
2010-2011,SFS,10,Lead Test,26
2010-2011,SFS,10,Lead Referral,
2010-2011,SFS,10,""VDRL, RPR, ART"",0
2010-2011,SFS,10,Gonorrhea,
2010-2011,SFS,10,Pap Smear,0
2010-2011,SFS,10,Chlamydia,
2010-2011,SFS,10,Pelvic Exam,0
2010-2011,SFS,10,Ova/ Parasites,0
2010-2011,SFS,10,Total Cholesterol,49
2010-2011,SFS,11,Sickle Cell,
2010-2011,SFS,11,Blood Lead,12
2010-2011,SFS,11,Lead Test,33
2010-2011,SFS,11,Lead Referral,
2010-2011,SFS,11,""VDRL, RPR, ART"",
2010-2011,SFS,11,Gonorrhea,
2010-2011,SFS,11,Pap Smear,0
2010-2011,SFS,11,Chlamydia,
2010-2011,SFS,11,Pelvic Exam,
2010-2011,SFS,11,Ova/ Parasites,0
2010-2011,SFS,11,Total Cholesterol,84
2010-2011,SFS,12,Sickle Cell,
2010-2011,SFS,12,Blood Lead,
2010-2011,SFS,12,Lead Test,43
2010-2011,SFS,12,Lead Referral,
2010-2011,SFS,12,""VDRL, RPR, ART"",
2010-2011,SFS,12,Gonorrhea,23
2010-2011,SFS,12,Pap Smear,0
2010-2011,SFS,12,Chlamydia,28
2010-2011,SFS,12,Pelvic Exam,0
2010-2011,SFS,12,Ova/ Parasites,
2010-2011,SFS,12,Total Cholesterol,83
2010-2011,SFS,13,Sickle Cell,
2010-2011,SFS,13,Blood Lead,
2010-2011,SFS,13,Lead Test,21
2010-2011,SFS,13,Lead Referral,
2010-2011,SFS,13,""VDRL, RPR, ART"",
2010-2011,SFS,13,Gonorrhea,42
2010-2011,SFS,13,Pap Smear,0
2010-2011,SFS,13,Chlamydia,51
2010-2011,SFS,13,Pelvic Exam,
2010-2011,SFS,13,Ova/ Parasites,0
2010-2011,SFS,13,Total Cholesterol,65
2010-2011,SFS,14,Sickle Cell,
2010-2011,SFS,14,Blood Lead,11
2010-2011,SFS,14,Lead Test,42
2010-2011,SFS,14,Lead Referral,
2010-2011,SFS,14,""VDRL, RPR, ART"",14
2010-2011,SFS,14,Gonorrhea,57
2010-2011,SFS,14,Pap Smear,
2010-2011,SFS,14,Chlamydia,66
2010-2011,SFS,14,Pelvic Exam,0
2010-2011,SFS,14,Ova/ Parasites,0
2010-2011,SFS,14,Total Cholesterol,67
2010-2011,SFS,15,Sickle Cell,
2010-2011,SFS,15,Blood Lead,
2010-2011,SFS,15,Lead Test,37
2010-2011,SFS,15,Lead Referral,
2010-2011,SFS,15,""VDRL, RPR, ART"",30
2010-2011,SFS,15,Gonorrhea,67
2010-2011,SFS,15,Pap Smear,0
2010-2011,SFS,15,Chlamydia,72
2010-2011,SFS,15,Pelvic Exam,
2010-2011,SFS,15,Ova/ Parasites,0
2010-2011,SFS,15,Total Cholesterol,67
2010-2011,SFS,16,Sickle Cell,
2010-2011,SFS,16,Blood Lead,
2010-2011,SFS,16,Lead Test,29
2010-2011,SFS,16,Lead Referral,
2010-2011,SFS,16,""VDRL, RPR, ART"",52
2010-2011,SFS,16,Gonorrhea,94
2010-2011,SFS,16,Pap Smear,
2010-2011,SFS,16,Chlamydia,95
2010-2011,SFS,16,Pelvic Exam,
2010-2011,SFS,16,Ova/ Parasites,0
2010-2011,SFS,16,Total Cholesterol,82
2010-2011,SFS,17,Sickle Cell,
2010-2011,SFS,17,Blood Lead,
2010-2011,SFS,17,Lead Test,23
2010-2011,SFS,17,Lead Referral,
2010-2011,SFS,17,""VDRL, RPR, ART"",72
2010-2011,SFS,17,Gonorrhea,126
2010-2011,SFS,17,Pap Smear,
2010-2011,SFS,17,Chlamydia,134
2010-2011,SFS,17,Pelvic Exam,
2010-2011,SFS,17,Ova/ Parasites,0
2010-2011,SFS,17,Total Cholesterol,58
2010-2011,SFS,18,Sickle Cell,0
2010-2011,SFS,18,Blood Lead,
2010-2011,SFS,18,Lead Test,
2010-2011,SFS,18,Lead Referral,0
2010-2011,SFS,18,""VDRL, RPR, ART"",52
2010-2011,SFS,18,Gonorrhea,73
2010-2011,SFS,18,Pap Smear,
2010-2011,SFS,18,Chlamydia,76
2010-2011,SFS,18,Pelvic Exam,
2010-2011,SFS,18,Ova/ Parasites,0
2010-2011,SFS,18,Total Cholesterol,28
2010-2011,SFS,19,Sickle Cell,0
2010-2011,SFS,19,Blood Lead,0
2010-2011,SFS,19,Lead Test,0
2010-2011,SFS,19,Lead Referral,0
2010-2011,SFS,19,""VDRL, RPR, ART"",0
2010-2011,SFS,19,Gonorrhea,0
2010-2011,SFS,19,Pap Smear,0
2010-2011,SFS,19,Chlamydia,0
2010-2011,SFS,19,Pelvic Exam,0
2010-2011,SFS,19,Ova/ Parasites,0
2010-2011,SFS,19,Total Cholesterol,0
2010-2011,SFS,20,Sickle Cell,0
2010-2011,SFS,20,Blood Lead,0
2010-2011,SFS,20,Lead Test,0
2010-2011,SFS,20,Lead Referral,0
2010-2011,SFS,20,""VDRL, RPR, ART"",0
2010-2011,SFS,20,Gonorrhea,0
2010-2011,SFS,20,Pap Smear,0
2010-2011,SFS,20,Chlamydia,0
2010-2011,SFS,20,Pelvic Exam,0
2010-2011,SFS,20,Ova/ Parasites,0
2010-2011,SFS,20,Total Cholesterol,0
2010-2011,SFS,UNKNOWN,Sickle Cell,0
2010-2011,SFS,UNKNOWN,Blood Lead,0
2010-2011,SFS,UNKNOWN,Lead Test,0
2010-2011,SFS,UNKNOWN,Lead Referral,0
2010-2011,SFS,UNKNOWN,""VDRL, RPR, ART"",0
2010-2011,SFS,UNKNOWN,Gonorrhea,0
2010-2011,SFS,UNKNOWN,Pap Smear,0
2010-2011,SFS,UNKNOWN,Chlamydia,0
2010-2011,SFS,UNKNOWN,Pelvic Exam,0
2010-2011,SFS,UNKNOWN,Ova/ Parasites,0
2010-2011,SFS,UNKNOWN,Total Cholesterol,0
2011-2012,All,0,Sickle Cell,25
2011-2012,All,0,Blood Lead,2963
2011-2012,All,0,Lead Test,3927
2011-2012,All,0,Lead Referral,1037
2011-2012,All,0,""VDRL, RPR, ART"",21
2011-2012,All,0,Gonorrhea,12
2011-2012,All,0,Pap Smear,
2011-2012,All,0,Chlamydia,28
2011-2012,All,0,Pelvic Exam,17
2011-2012,All,0,Ova/ Parasites,34
2011-2012,All,0,Total Cholesterol,370
2011-2012,All,1,Sickle Cell,223
2011-2012,All,1,Blood Lead,13244
2011-2012,All,1,Lead Test,35784
2011-2012,All,1,Lead Referral,7768
2011-2012,All,1,""VDRL, RPR, ART"",15
2011-2012,All,1,Gonorrhea,
2011-2012,All,1,Pap Smear,14
2011-2012,All,1,Chlamydia,37
2011-2012,All,1,Pelvic Exam,19
2011-2012,All,1,Ova/ Parasites,84
2011-2012,All,1,Total Cholesterol,454
2011-2012,All,2,Sickle Cell,73
2011-2012,All,2,Blood Lead,10556
2011-2012,All,2,Lead Test,27484
2011-2012,All,2,Lead Referral,5964
2011-2012,All,2,""VDRL, RPR, ART"",
2011-2012,All,2,Gonorrhea,
2011-2012,All,2,Pap Smear,
2011-2012,All,2,Chlamydia,19
2011-2012,All,2,Pelvic Exam,11
2011-2012,All,2,Ova/ Parasites,62
2011-2012,All,2,Total Cholesterol,314
2011-2012,All,3,Sickle Cell,57
2011-2012,All,3,Blood Lead,2945
2011-2012,All,3,Lead Test,8866
2011-2012,All,3,Lead Referral,2452
2011-2012,All,3,""VDRL, RPR, ART"",
2011-2012,All,3,Gonorrhea,0
2011-2012,All,3,Pap Smear,
2011-2012,All,3,Chlamydia,14
2011-2012,All,3,Pelvic Exam,
2011-2012,All,3,Ova/ Parasites,53
2011-2012,All,3,Total Cholesterol,435
2011-2012,All,4,Sickle Cell,53
2011-2012,All,4,Blood Lead,2831
2011-2012,All,4,Lead Test,8955
2011-2012,All,4,Lead Referral,2374
2011-2012,All,4,""VDRL, RPR, ART"",
2011-2012,All,4,Gonorrhea,
2011-2012,All,4,Pap Smear,
2011-2012,All,4,Chlamydia,16
2011-2012,All,4,Pelvic Exam,
2011-2012,All,4,Ova/ Parasites,47
2011-2012,All,4,Total Cholesterol,765
2011-2012,All,5,Sickle Cell,33
2011-2012,All,5,Blood Lead,1289
2011-2012,All,5,Lead Test,4216
2011-2012,All,5,Lead Referral,1183
2011-2012,All,5,""VDRL, RPR, ART"",
2011-2012,All,5,Gonorrhea,
2011-2012,All,5,Pap Smear,
2011-2012,All,5,Chlamydia,16
2011-2012,All,5,Pelvic Exam,
2011-2012,All,5,Ova/ Parasites,32
2011-2012,All,5,Total Cholesterol,666
2011-2012,All,6,Sickle Cell,24
2011-2012,All,6,Blood Lead,533
2011-2012,All,6,Lead Test,1299
2011-2012,All,6,Lead Referral,309
2011-2012,All,6,""VDRL, RPR, ART"",
2011-2012,All,6,Gonorrhea,
2011-2012,All,6,Pap Smear,
2011-2012,All,6,Chlamydia,
2011-2012,All,6,Pelvic Exam,
2011-2012,All,6,Ova/ Parasites,14
2011-2012,All,6,Total Cholesterol,668
2011-2012,All,7,Sickle Cell,
2011-2012,All,7,Blood Lead,264
2011-2012,All,7,Lead Test,544
2011-2012,All,7,Lead Referral,112
2011-2012,All,7,""VDRL, RPR, ART"",
2011-2012,All,7,Gonorrhea,
2011-2012,All,7,Pap Smear,
2011-2012,All,7,Chlamydia,
2011-2012,All,7,Pelvic Exam,0
2011-2012,All,7,Ova/ Parasites,11
2011-2012,All,7,Total Cholesterol,702
2011-2012,All,8,Sickle Cell,21
2011-2012,All,8,Blood Lead,222
2011-2012,All,8,Lead Test,435
2011-2012,All,8,Lead Referral,51
2011-2012,All,8,""VDRL, RPR, ART"",
2011-2012,All,8,Gonorrhea,
2011-2012,All,8,Pap Smear,
2011-2012,All,8,Chlamydia,
2011-2012,All,8,Pelvic Exam,
2011-2012,All,8,Ova/ Parasites,19
2011-2012,All,8,Total Cholesterol,725
2011-2012,All,9,Sickle Cell,17
2011-2012,All,9,Blood Lead,139
2011-2012,All,9,Lead Test,272
2011-2012,All,9,Lead Referral,34
2011-2012,All,9,""VDRL, RPR, ART"",
2011-2012,All,9,Gonorrhea,
2011-2012,All,9,Pap Smear,
2011-2012,All,9,Chlamydia,18
2011-2012,All,9,Pelvic Exam,
2011-2012,All,9,Ova/ Parasites,12
2011-2012,All,9,Total Cholesterol,896
2011-2012,All,10,Sickle Cell,16
2011-2012,All,10,Blood Lead,152
2011-2012,All,10,Lead Test,259
2011-2012,All,10,Lead Referral,40
2011-2012,All,10,""VDRL, RPR, ART"",28
2011-2012,All,10,Gonorrhea,11
2011-2012,All,10,Pap Smear,
2011-2012,All,10,Chlamydia,38
2011-2012,All,10,Pelvic Exam,
2011-2012,All,10,Ova/ Parasites,
2011-2012,All,10,Total Cholesterol,1021
2011-2012,All,11,Sickle Cell,20
2011-2012,All,11,Blood Lead,127
2011-2012,All,11,Lead Test,294
2011-2012,All,11,Lead Referral,56
2011-2012,All,11,""VDRL, RPR, ART"",49
2011-2012,All,11,Gonorrhea,64
2011-2012,All,11,Pap Smear,32
2011-2012,All,11,Chlamydia,234
2011-2012,All,11,Pelvic Exam,31
2011-2012,All,11,Ova/ Parasites,
2011-2012,All,11,Total Cholesterol,1401
2011-2012,All,12,Sickle Cell,
2011-2012,All,12,Blood Lead,100
2011-2012,All,12,Lead Test,241
2011-2012,All,12,Lead Referral,40
2011-2012,All,12,""VDRL, RPR, ART"",51
2011-2012,All,12,Gonorrhea,363
2011-2012,All,12,Pap Smear,23
2011-2012,All,12,Chlamydia,582
2011-2012,All,12,Pelvic Exam,29
2011-2012,All,12,Ova/ Parasites,
2011-2012,All,12,Total Cholesterol,1332
2011-2012,All,13,Sickle Cell,12
2011-2012,All,13,Blood Lead,87
2011-2012,All,13,Lead Test,216
2011-2012,All,13,Lead Referral,33
2011-2012,All,13,""VDRL, RPR, ART"",99
2011-2012,All,13,Gonorrhea,510
2011-2012,All,13,Pap Smear,29
2011-2012,All,13,Chlamydia,738
2011-2012,All,13,Pelvic Exam,29
2011-2012,All,13,Ova/ Parasites,
2011-2012,All,13,Total Cholesterol,1228
2011-2012,All,14,Sickle Cell,16
2011-2012,All,14,Blood Lead,82
2011-2012,All,14,Lead Test,230
2011-2012,All,14,Lead Referral,47
2011-2012,All,14,""VDRL, RPR, ART"",154
2011-2012,All,14,Gonorrhea,796
2011-2012,All,14,Pap Smear,45
2011-2012,All,14,Chlamydia,1037
2011-2012,All,14,Pelvic Exam,48
2011-2012,All,14,Ova/ Parasites,
2011-2012,All,14,Total Cholesterol,1316
2011-2012,All,15,Sickle Cell,20
2011-2012,All,15,Blood Lead,95
2011-2012,All,15,Lead Test,230
2011-2012,All,15,Lead Referral,35
2011-2012,All,15,""VDRL, RPR, ART"",309
2011-2012,All,15,Gonorrhea,3060
2011-2012,All,15,Pap Smear,53
2011-2012,All,15,Chlamydia,3473
2011-2012,All,15,Pelvic Exam,48
2011-2012,All,15,Ova/ Parasites,
2011-2012,All,15,Total Cholesterol,1383
2011-2012,All,16,Sickle Cell,27
2011-2012,All,16,Blood Lead,97
2011-2012,All,16,Lead Test,227
2011-2012,All,16,Lead Referral,36
2011-2012,All,16,""VDRL, RPR, ART"",467
2011-2012,All,16,Gonorrhea,3992
2011-2012,All,16,Pap Smear,55
2011-2012,All,16,Chlamydia,4500
2011-2012,All,16,Pelvic Exam,60
2011-2012,All,16,Ova/ Parasites,
2011-2012,All,16,Total Cholesterol,1392
2011-2012,All,17,Sickle Cell,19
2011-2012,All,17,Blood Lead,90
2011-2012,All,17,Lead Test,205
2011-2012,All,17,Lead Referral,32
2011-2012,All,17,""VDRL, RPR, ART"",816
2011-2012,All,17,Gonorrhea,3650
2011-2012,All,17,Pap Smear,80
2011-2012,All,17,Chlamydia,4080
2011-2012,All,17,Pelvic Exam,76
